Pet,Treat,Task,ResponseTime
1,I,A,0.508638306
2,I,B,0.086186148
3,I,C,0.366531544
4,I,D,0.346787486
5,I,A,0.346787486
6,I,B,0.041392685
7,I,C,0.346787486
8,I,D,0.148741651
9,I,A,0.337242168
10,I,B,0.055517328
11,I,C,0.200659451
12,I,D,0.180456064
13,I,A,0.366531544
14,I,B,0.142667504
15,I,C,0.119186408
16,I,D,0.207608311
17,II,A,0.443697499
18,II,B,0.036212173
19,II,C,0.356547324
20,II,D,0.301029996
21,II,A,0.537602002
22,II,B,0.214670165
23,II,C,0.455931956
24,II,D,0.008600172
25,II,A,0.397940009
26,II,B,0.30980392
27,II,C,0.508638306
28,II,D,0.148741651
29,II,A,0.638272164
30,II,B,0.093421685
31,II,C,0.397940009
32,II,D,0.420216403
33,III,A,0.657577319
34,III,B,0.522878745
35,III,C,0.638272164
36,III,D,0.522878745
37,III,A,0.677780705
38,III,B,0.431798276
39,III,C,0.602059991
40,III,D,0.443697499
41,III,A,0.744727495
42,III,B,0.420216403
43,III,C,0.619788758
44,III,D,0.508638306
45,III,A,0.638272164
46,III,B,0.537602002
47,III,C,0.657577319
48,III,D,0.48148606
